topic,category
Saskatchewan hospital insurance plan,Social Welfare and Labour
secrecy of military information and troop dispositions,Veterans' and Military Affairs
depreciation allowances for farm houses,Agriculture and Food Policy
British national health insurance and economic reliance,Social Welfare and Labour
national health insurance proposals,Social Welfare and Labour
Canadian seamen's union labour dispute,Social Welfare and Labour
public ownership of the Ottawa transportation system,Transportation and Communications
federal grants for the city of Ottawa,Natural Resources and Intergovernmental Relations
national health insurance coverage,Social Welfare and Labour
parliamentary oversight of national defence preparations,Veterans' and Military Affairs
provincial hospital construction and health services,Social Welfare and Labour
opposition to national health insurance proposal,Social Welfare and Labour
public ownership of Ottawa transportation system,Transportation and Communications
state allowances for disabled persons,Social Welfare and Labour
public ownership of municipal transportation utilities,Transportation and Communications
national health insurance and social services,Social Welfare and Labour
Saskatchewan provincial health insurance plan,Social Welfare and Labour
national health insurance negotiations,Social Welfare and Labour
federal-provincial conference health and welfare proposals,Social Welfare and Labour
federal municipal planning for Ottawa,Government and Parliamentary Affairs
implementation of a national health program,Social Welfare and Labour
industrial relations and labour dispute legislation,Social Welfare and Labour
centralized national administration efficiency,Government and Parliamentary Affairs
national health insurance and rural hospital development,Social Welfare and Labour
enforcement of industrial relations and disputes act,Social Welfare and Labour
military personnel statistics and pensions,Veterans' and Military Affairs
industrial disputes legislation,Social Welfare and Labour
military personnel pension fund contributions,Veterans' and Military Affairs
provincial health services in Saskatchewan,Natural Resources and Intergovernmental Relations
provincial retail sales tax collections,Public Finance and Taxation
national health insurance,Social Welfare and Labour
regulation of barbiturate prescriptions,"Justice, Constitution, and Indigenous Affairs"
accuracy of department of national defence statements,Veterans' and Military Affairs
national health insurance and social security,Social Welfare and Labour
Royal Canadian Air Force North Star aircraft maintenance,Veterans' and Military Affairs
Department of National Defence civilian personnel statistics,Veterans' and Military Affairs
storage of Royal Canadian Air Force North Star aircraft,Veterans' and Military Affairs
federal subsidies for Nova Scotia apple marketing,Agriculture and Food Policy
Canadian National Railways pension eligibility requirements,Transportation and Communications
maintenance of North Star military aircraft,Veterans' and Military Affairs
civilian committees for army reserve recruitment,Veterans' and Military Affairs
federal assistance for Nova Scotia apple industry,Agriculture and Food Policy
procurement of North Star transport aircraft,Veterans' and Military Affairs
investigation into Central Mortgage and Housing Corporation materials,Government and Parliamentary Affairs
national health insurance and social security policy,Social Welfare and Labour
storage and dismantling of North Star aircraft,Veterans' and Military Affairs
enforcement of house rules on debate interruptions,Government and Parliamentary Affairs
inquiry into royal canadian air force aircraft,Veterans' and Military Affairs
federal-provincial health insurance negotiations,Natural Resources and Intergovernmental Relations
supplementary defence spending authorization,Veterans' and Military Affairs
potato price support program eligibility,Agriculture and Food Policy
veteran student training allowance rates,Veterans' and Military Affairs
peacetime defence forces funding,Veterans' and Military Affairs
Department of National Defence expenditure accountability,Veterans' and Military Affairs
supplementary military expenditure estimates,Veterans' and Military Affairs
proposed pacific defence pact,Veterans' and Military Affairs
Royal Canadian Air Force aircraft cannibalization,Veterans' and Military Affairs
department of national defence supplementary estimates,Veterans' and Military Affairs
Royal Canadian Air Force defence policies,Veterans' and Military Affairs
Canadian national defence policy criticism,Veterans' and Military Affairs
Royal Canadian Air Force procurement and defence spending,Veterans' and Military Affairs
